Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
122008781,Manhattan,0,6/19/2014,12/17/2023,3467,5/3/2024,522,WOOD & STEEL,R,1079377,107,40.78156,-73.98166,2139,BROADWAY,1,01167,07503,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Local Law 11,Commercial District/Overlay
122106078,Manhattan,0,8/19/2014,12/17/2023,3406,12/3/2024,42,WOOD / STEEL,R,1055054,110,40.80244,-73.95143,130,WEST 116 STREET,1,01825,00050,PLATINUM SERVICES NY LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
122199236,Manhattan,0,12/9/2014,12/17/2023,3294,3/7/2024,200,WOOD & STEEL,R,1016745,105,40.74189,-73.9858,352,PARK AVENUE SOUTH,1,00855,00016,ROCKLEDGE SCAFFOLD CORP,1,BIS,Local Law 11,Commercial District/Overlay
122212131,Manhattan,0,12/16/2014,12/17/2023,3287,1/9/2024,90,WOOD & STEEL,R,1030971,107,40.78022,-73.9862,340,WEST 72 STREET,1,01183,00050,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Local Law 11,Other Zoning Districts
122280218,Manhattan,0,3/11/2015,12/17/2023,3202,12/5/2024,197,WOOD AND STEEL,R,1090832,101,40.7091,-74.01277,125,GREENWICH STREET,1,00051,00014,SAFWAY ATLANTIC  LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
122574570,Manhattan,0,1/6/2016,12/17/2023,2901,12/6/2024,174,174,R,1015409,105,40.7392,-73.99438,44,WEST 18 STREET,1,00819,00010,ROCKLEDGE SCAFFOLD CORP,1,BIS,Local Law 11,Commercial District/Overlay
122656009,Manhattan,0,1/11/2016,12/17/2023,2896,7/4/2024,60,STEEL AND WOOD,R,1059944,109,40.82071,-73.9575,632,WEST 135 STREET,1,02001,00058,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
122736646,Manhattan,0,7/7/2016,12/17/2023,2718,6/28/2024,35,WOOD & STEEL,R,1002909,101,40.72327,-74.00983,450,GREENWICH STREET,1,00223,00029,SKYLINE SCAFFOLDING GROUP,1,BIS,Construction or Maintenance,Commercial District/Overlay
122887242,Manhattan,0,11/3/2016,12/17/2023,2599,3/7/2024,345,WOOD & STEEL,R,1012284,104,40.74642,-74.00753,536,WEST 20 STREET,1,00691,00001,SAFWAY ATLANTIC  LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
123070292,Manhattan,0,4/19/2017,12/17/2023,2432,6/19/2024,240,METAL AND WOOD,R,1007573,102,40.72426,-73.99815,565,BROADWAY,1,00498,00005,PHOENIX SUTTON STR INC,1,BIS,Local Law 11,Other Zoning Districts
123075199,Manhattan,0,4/12/2017,12/17/2023,2439,6/28/2024,44,STEEL/WOOD,R,1087980,104,40.76103,-73.98753,785,   8 AVENUE,1,01038,07501,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
123336498,Manhattan,0,9/12/2017,12/17/2023,2286,8/3/2024,96,STEEL/WOOD,R,1084936,106,40.734,-73.98775,2,IRVING PLACE,1,00870,00024,EAGLE SCAFFOLDING SVCS IN,1,BIS,Local Law 11,Commercial District/Overlay
140113339,Manhattan,0,9/10/2013,12/17/2023,3749,4/4/2024,246,STEEL/WOOD,R,1033975,107,40.79014,-73.97734,571,WEST END AVENUE,1,01249,00036,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Other Zoning Districts
140359485,Manhattan,0,6/12/2015,12/17/2023,3109,5/11/2024,530,STEEL AND WOOD,R,1084572,107,40.79141,-73.96904,680,COLUMBUS AVENUE,1,01224,00029,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Commercial District/Overlay
140378614,Manhattan,0,8/10/2015,12/17/2023,3050,12/3/2024,173,WOOD / STEEL,R,1053398,110,40.80542,-73.94544,22,MOUNT MORRIS PARK WEST,1,01721,00014,PLATINUM SERVICES NY LLC,1,BIS,Local Law 11,Other Zoning Districts
140380932,Manhattan,0,7/29/2015,12/17/2023,3062,4/4/2024,75,STEEL/WOOD,R,1014031,104,40.74276,-73.99778,217,WEST 20 STREET,1,00770,00030,TRI BOROUGH SCAFFOLDING,1,BIS,Construction or Maintenance,Other Zoning Districts
140413390,Manhattan,0,11/18/2015,12/17/2023,2950,3/7/2024,550,METAL PIPE/WOOD,R,1082575,107,40.77305,-73.98734,60,AMSTERDAM AVENUE,1,01154,00101,PIZZAROTTI LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
140419624,Manhattan,0,10/26/2015,12/17/2023,2973,5/31/2024,260,WOOD/STEEL,R,1001267,101,40.71033,-74.00739,129,FULTON STREET,1,00091,00013,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
140462416,Manhattan,0,2/25/2016,12/17/2023,2851,3/6/2024,222,STEEL/WOOD,R,1032651,107,40.78505,-73.98025,420,WEST END AVENUE,1,01228,00001,CORE SCAFFOLD SYSTEMS INC,1,BIS,Local Law 11,Other Zoning Districts
140468090,Manhattan,0,3/10/2016,12/17/2023,2837,7/11/2024,60,METAL AND WOOD,R,1082288,104,40.76659,-73.99323,556,WEST   52 STREET,1,01080,00103,PHOENIX SUTTON STR INC,1,BIS,Construction or Maintenance,Other Zoning Districts
140506600,Manhattan,0,6/13/2016,12/17/2023,2742,3/6/2024,185,STEEL/WOOD,R,1085096,105,40.75733,-73.9885,250,WEST 43 STREET,1,01014,00055,CORE SCAFFOLD SYSTEMS INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140528329,Manhattan,0,8/3/2016,12/17/2023,2691,8/30/2024,256,STEEL/WOOD,R,1023388,105,40.76385,-73.98077,849,7 AVENUE,1,01007,00061,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Commercial District/Overlay
140535909,Manhattan,0,8/19/2016,12/17/2023,2675,1/19/2024,301,STEEL/WOOD,R,1061777,109,40.82391,-73.95178,561,WEST 141 STREET,1,02073,00001,INTERSYSTEM INSTALLATION,1,BIS,Local Law 11,Commercial District/Overlay
140560952,Manhattan,0,10/13/2016,12/17/2023,2620,1/11/2024,14,STEEL/WOOD,R,1061778,109,40.82383,-73.95158,559,WEST 141 STREET,1,02073,00006,INTERSYSTEM INSTALLATION,1,BIS,Construction or Maintenance,Other Zoning Districts
140567376,Manhattan,0,10/28/2016,12/17/2023,2605,11/2/2024,270,WOOD/STEEL,R,1041797,108,40.77438,-73.96299,35,EAST 76 STREET,1,01391,00021,CS BRIDGE CORP,1,BIS,Local Law 11,Commercial District/Overlay
140571021,Manhattan,0,11/15/2016,12/17/2023,2587,3/7/2024,257,STEEL/WOOD,R,1076192,105,40.75958,-73.98628,228,WEST   47 STREET,1,01018,00018,VEMA GROUP LLC,1,BIS,Local Law 11,Commercial District/Overlay
140591321,Manhattan,0,1/23/2017,12/17/2023,2518,3/1/2024,158,WOOD / STEEL,R,1033304,107,40.79037,-73.976,264,WEST 89 STREET,1,01236,00058,PLATINUM SERVICES NY LLC,1,BIS,Local Law 11,Other Zoning Districts
140597478,Manhattan,0,1/24/2017,12/17/2023,2517,3/7/2024,110,STEEL/WOOD,R,1019481,106,40.74942,-73.97657,141,EAST 39 STREET,1,00895,00034,VEMA GROUP LLC,1,BIS,Local Law 11,Other Zoning Districts
140612200,Manhattan,0,3/9/2017,12/17/2023,2473,6/19/2024,255,METAL AND WOOD,R,1019161,106,40.74944,-73.97785,128,EAST 39 STREET,1,00894,00071,PHOENIX SUTTON STR INC,1,BIS,Local Law 11,Commercial District/Overlay
140612996,Manhattan,0,3/7/2017,12/17/2023,2475,1/11/2024,40,STEEL/WOOD,R,1056068,107,40.79523,-73.97206,275,WEST 96 STREET,1,01868,07501,CORE SCAFFOLD SYSTEMS INC,1,BIS,Local Law 11,Commercial District/Overlay
140614823,Manhattan,0,3/24/2017,12/17/2023,2458,8/6/2024,90,STEEL& WOOD,R,1050342,108,40.78387,-73.94695,1850,2 AVENUE,1,01558,00050,TRIERA CONTRACTING INC,1,BIS,Local Law 11,Commercial District/Overlay
140629862,Manhattan,0,4/14/2017,12/17/2023,2437,1/19/2024,146,WOOD & STEEL,R,1001910,101,40.71713,-74.00431,349,BROADWAY,1,00174,00037,ROCKLEDGE SCAFFOLD CORP,1,BIS,Local Law 11,Commercial District/Overlay
140633679,Manhattan,0,4/25/2017,12/17/2023,2426,4/4/2024,140,STEEL/WOOD,R,1087350,103,40.722,-73.97821,734,EAST    5 STREET,1,00374,00025,JERRICK ASSOCIATES INC,1,BIS,Local Law 11,Other Zoning Districts
140638139,Manhattan,0,6/6/2017,12/17/2023,2384,8/10/2024,63,WOOD/STEEL,R,1001904,101,40.71763,-74.00436,71,FRANKLIN STREET,1,00174,00028,PLATINUM SERVICES NY LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140646399,Manhattan,0,6/8/2017,12/17/2023,2382,8/21/2024,390,WOOD AND STEEL,R,1001672,101,40.71402,-74.00391,2,LAFAYETTE STREET,1,00155,00001,ADP GROUP INC,1,BIS,Local Law 11,Commercial District/Overlay
140646406,Manhattan,0,6/8/2017,12/17/2023,2382,8/21/2024,305,WOOD AND STEEL,R,1078613,101,40.71439,-74.00478,22,READE STREET,1,00154,00023,ADP GROUP INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140654520,Manhattan,0,6/13/2017,12/17/2023,2377,4/2/2024,93,WOOD/STEEL,R,1062085,109,40.82861,-73.94715,537,WEST 149 STREET,1,02081,00014,CS BRIDGE CORP,1,BIS,Local Law 11,Other Zoning Districts
140672065,Manhattan,0,7/25/2017,12/17/2023,2335,8/24/2024,252,STEEL AND WOOD,R,1031993,107,40.78375,-73.97626,140,WEST 81 STREET,1,01211,00050,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
140673769,Manhattan,0,7/27/2017,12/17/2023,2333,6/20/2024,190,STEEL/WOOD,R,1080576,104,40.7402,-73.99807,113,   7 AVENUE,1,00792,00070,CORE SCAFFOLD SYSTEMS INC,1,BIS,Local Law 11,Commercial District/Overlay
140683794,Manhattan,0,8/18/2017,12/17/2023,2311,7/11/2024,35,STEEL/WOOD,R,1059705,109,40.81432,-73.95623,508,WEST 126 STREET,1,01982,00033,CORE SCAFFOLD SYSTEMS INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140691302,Manhattan,0,9/12/2017,12/17/2023,2286,7/27/2024,30,STEEL/WOOD,R,1019489,106,40.74998,-73.97744,344,LEXINGTON AVENUE,1,00895,00074,ARSENAL SCAFFOLD INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
201201500,Bronx,0,10/11/2017,12/17/2023,2257,10/22/2024,1299,METAL & WOOD,R,2004526,203,40.82757,-73.90379,597,EAST  166 STREET,2,02634,00001,WHITESTONE CONSTRUCTION C,1,BIS,Local Law 11,Other Zoning Districts
220161278,Bronx,0,12/23/2011,12/17/2023,4376,8/20/2024,280,STEEL/WOOD,R,2002802,204,40.82718,-73.9219,900,GRAND CONCOURSE,2,02460,00001,SASCO CONSTRUCTION ENT,1,BIS,Local Law 11,Commercial District/Overlay
220391154,Bronx,0,6/24/2014,12/17/2023,3462,12/3/2024,100,WOOD / STEEL,R,2016878,207,40.8688,-73.88913,260,EAST 198 STREET,2,03295,00043,PLATINUM SERVICES NY LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
220451455,Bronx,0,7/16/2015,12/17/2023,3075,4/3/2024,20,WOOD AND STEEL,R,2004607,203,40.82693,-73.90318,1102,JACKSON AVENUE,2,02651,00004,A & S CONTRACTORS OF NY I,1,BIS,Construction or Maintenance,Commercial District/Overlay
220604969,Bronx,0,8/14/2017,12/17/2023,2315,5/25/2024,480,STEEL/WOOD,R,2092708,209,40.82088,-73.85909,1850,LAFAYETTE AVENUE,2,03600,00025,PARSONS CONSTRUCTION INC,1,BIS,Local Law 11,Other Zoning Districts
220604978,Bronx,0,8/14/2017,12/17/2023,2315,5/25/2024,372,STEEL/WOOD,R,2092718,209,40.82088,-73.85909,751,WHITE PLAINS ROAD,2,03600,00025,PARSONS CONSTRUCTION INC,1,BIS,Local Law 11,Other Zoning Districts
220604987,Bronx,0,8/14/2017,12/17/2023,2315,5/25/2024,364,STEEL/WOOD,R,2092711,209,40.82088,-73.85909,1880,LAFAYETTE AVE,2,03600,00025,PARSONS CONSTRUCTION INC,1,BIS,Local Law 11,Other Zoning Districts
240018896,Bronx,0,2/6/2013,12/17/2023,3965,6/13/2024,275,STEEL/WOOD,R,2015580,208,40.87461,-73.90182,2875,SEDGWICK AVENUE,2,03253,00255,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Commercial District/Overlay
240083930,Bronx,0,12/15/2014,12/17/2023,3288,3/23/2024,1051,WOOD/STEEL,R,2015473,208,40.88437,-73.89068,80,VAN CORTLANDT PARK SOUTH,2,03252,00209,CEPRINE CONSTRUCTION INC,1,BIS,Local Law 11,Other Zoning Districts
240086438,Bronx,0,1/8/2015,12/17/2023,3264,10/2/2024,375,STEEL AND WOOD,R,2004029,201,40.80051,-73.90987,880,EAST 135 STREET,2,02594,00005,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
240113505,Bronx,0,9/16/2015,12/17/2023,3013,4/6/2024,92,WOOD/STEEL,R,2109600,203,40.83293,-73.8912,1418,MINFORD PLACE,2,02977,00080,COLGATE ENTERPRISE CORP,1,BIS,Local Law 11,Commercial District/Overlay
240114149,Bronx,0,9/21/2015,12/17/2023,3008,7/25/2024,1295,STEEL/WOOD,R,2083678,208,40.88447,-73.9065,3409,IRWIN AVENUE,2,05759,00573,METRO CONTRACTING NY  INC,1,BIS,Local Law 11,Other Zoning Districts
240128688,Bronx,0,1/8/2016,12/17/2023,2899,6/8/2024,60,STEEL/WOOD,R,2000349,201,40.81004,-73.92051,435,EAST  140 STREET,2,02285,00072,ARSENAL SCAFFOLD INC,1,BIS,Construction or Maintenance,Other Zoning Districts
240133084,Bronx,0,2/24/2016,12/17/2023,2852,9/21/2024,296,STEEL/WOOD,R,2010481,203,40.83052,-73.89278,1312,INTERVALE AVENUE,2,02976,00001,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
240141921,Bronx,0,5/17/2016,12/17/2023,2769,6/5/2024,430,WOOD/STEEL,R,2004795,201,40.81929,-73.90298,801,WESTCHESTER AVENUE,2,02666,00041,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
240144287,Bronx,0,6/7/2016,12/17/2023,2748,10/19/2024,30,STEEL/WOOD,R,2128906,203,40.82711,-73.89155,1122,SOUTHERN BOULEVARD,2,02745,00002,MC SUPERSTRUCTURE INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
240176019,Bronx,0,3/10/2017,12/17/2023,2472,6/5/2024,144,WOOD/STEEL,R,2012677,206,40.84734,-73.88833,2075,CLINTON AVENUE,2,03095,00045,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
302573445,Brooklyn,0,2/22/2017,12/17/2023,2488,2/16/2024,1232,METAL & WOOD,R,3154775,310,40.61808,-74.0285,9025,5 AVENUE,3,06088,00001,WHITESTONE CONSTRUCTION C,1,BIS,Construction or Maintenance,Commercial District/Overlay
320254817,Brooklyn,0,1/5/2011,12/17/2023,4728,11/5/2024,125,TIMBER,R,3327720,309,40.65663,-73.94415,604,WINTHROP STREET,3,04829,00001,PICCO CONSTRUCTION LLC,0,BIS,Local Law 11,Other Zoning Districts
320254826,Brooklyn,0,1/5/2011,12/17/2023,4728,6/22/2024,125,TIMBER,R,3327719,309,40.65663,-73.94415,444,WINTHROP STREET,3,04829,00001,PJP INSTALLERS INC,0,BIS,Local Law 11,Other Zoning Districts
321298387,Brooklyn,0,1/14/2016,12/17/2023,2893,10/4/2024,436,WOOD & STEEL,R,3000370,302,40.6904,-73.98239,9,DE KALB AVENUE,3,00149,00100,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
340248191,Brooklyn,0,4/14/2015,12/17/2023,3168,5/15/2024,1080,STEEL AND WOOD,R,3338422,301,40.70459,-73.9453,79,MANHATTAN AVENUE,3,03078,00001,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340248235,Brooklyn,0,4/15/2015,12/17/2023,3167,5/15/2024,1262,STEEL AND WOOD,R,3338415,301,40.70607,-73.94898,25,BOERUM STREET,3,03058,00001,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
340250702,Brooklyn,0,4/22/2015,12/17/2023,3160,5/15/2024,1167,STEEL AND WOOD,R,3071200,301,40.70611,-73.94555,93,MANHATTAN AVENUE,3,03060,00075,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340250711,Brooklyn,0,4/22/2015,12/17/2023,3160,5/15/2024,942,STEEL AND WOOD,R,3327972,301,40.70454,-73.94689,29,LEONARD STREET,3,03077,00001,SPRING SCAFFOLDING LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
340250720,Brooklyn,0,4/22/2015,12/17/2023,3160,5/15/2024,1460,STEEL AND WOOD,R,3338423,301,40.70459,-73.9453,13,MOORE STREET,3,03078,00001,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340279816,Brooklyn,0,7/13/2015,12/17/2023,3078,7/27/2024,359,STEEL/WOOD,R,3120574,314,40.63639,-73.95889,1054,OCEAN AVENUE,3,05219,00029,INTERSYSTEM INSTALLATION,1,BIS,Local Law 11,Other Zoning Districts
340298902,Brooklyn,0,9/8/2015,12/17/2023,3021,7/9/2024,35,METAL AND WOOD,R,3079120,304,40.69296,-73.90659,316,ELDERT STREET,3,03419,00017,PHOENIX SUTTON STR INC,1,BIS,Construction or Maintenance,Other Zoning Districts
340305075,Brooklyn,0,9/23/2015,12/17/2023,3006,12/23/2023,40,STEEL/WOOD,R,3331294,318,40.6525,-73.89508,543,EAST  108 STREET,3,08158,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340307171,Brooklyn,0,9/30/2015,12/17/2023,2999,12/23/2023,72,STEEL/WOOD,R,3331291,318,40.6525,-73.89508,254,STANLEY AVENUE,3,08158,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340321716,Brooklyn,0,11/12/2015,12/17/2023,2956,12/23/2023,495,STEEL/WOOD,R,3321866,303,40.68979,-73.95866,448,DEKALB AVE,3,01938,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340322190,Brooklyn,0,11/6/2015,12/17/2023,2962,7/16/2024,459,WOOD & STEEL,R,3327560,309,40.65958,-73.93381,784,RUTLAND ROAD,3,04602,00005,ROCKLEDGE SCAFFOLD CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
340323082,Brooklyn,0,11/6/2015,12/17/2023,2962,7/16/2024,360,WOOD & STEEL,R,3346580,309,40.65934,-73.93307,808,RUTLAND ROAD,3,04602,00001,ROCKLEDGE SCAFFOLD CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
340325936,Brooklyn,0,11/20/2015,12/17/2023,2948,12/23/2023,249,STEEL/WOOD,R,3321871,303,40.68979,-73.95866,325,CLASSON AVE,3,01938,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340325945,Brooklyn,0,11/16/2015,12/17/2023,2952,12/23/2023,223,STEEL/WOOD,R,3339158,303,40.68979,-73.95866,411,LAFAYETTE AVE,3,01938,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340334784,Brooklyn,0,12/15/2015,12/17/2023,2923,3/9/2024,87,STEEL/WOOD,R,3334868,301,40.70799,-73.96146,344,ROEBLING STREET,3,02148,00027,CORE SCAFFOLD SYSTEMS INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
340361771,Brooklyn,0,3/29/2016,12/17/2023,2818,12/23/2023,557,STEEL/WOOD,R,3348343,316,40.67167,-73.90927,60,GLENMORE AVENUE,3,03489,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340361780,Brooklyn,0,3/16/2016,12/17/2023,2831,12/23/2023,353,STEEL/WOOD,R,3339436,316,40.67167,-73.90927,61,THATFORD AVENUE,3,03489,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340361799,Brooklyn,0,3/16/2016,12/17/2023,2831,12/23/2023,530,STEEL/WOOD,R,3339433,316,40.67167,-73.90927,1548,EAST NEW YORK AVENUE,3,03489,00001,MNK ENTERPRISES LLC,1,BIS,Local Law 11,Other Zoning Districts
340431107,Brooklyn,0,10/12/2016,12/17/2023,2621,2/3/2024,589,STEEL/WOOD,R,3324696,316,40.68109,-73.90807,31,MOTHER GASTON BOULEVARD,3,01529,00001,ROMA SCAFFOLDING INC,1,BIS,Local Law 11,Other Zoning Districts
340458310,Brooklyn,0,12/28/2016,12/17/2023,2544,12/23/2023,126,STEEL/WOOD,R,3036568,308,40.67157,-73.92838,1521,STERLING PLACE,3,01373,00049,MNK ENTERPRISES LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
340466463,Brooklyn,0,2/14/2017,12/17/2023,2496,2/3/2024,190,STEEL/WOOD,R,3346319,303,40.68979,-73.95866,470,DEKALB AVENUE,3,01938,00001,ROMA SCAFFOLDING INC,1,BIS,Local Law 11,Other Zoning Districts
340484577,Brooklyn,0,4/5/2017,12/17/2023,2446,12/13/2024,120,STEEL/WOOD,R,3426030,301,40.71407,-73.95737,13,HOPE STREET,3,02368,00001,ARSENAL SCAFFOLD INC,1,BIS,Construction or Maintenance,Other Zoning Districts
340492997,Brooklyn,0,4/13/2017,12/17/2023,2438,7/6/2024,120,STEEL/WOOD,R,3411833,305,40.68241,-73.87855,186,FORCE TUBE AVENUE,3,04124,00031,XIA CONSTRUCTION MNGMT*,1,BIS,Construction or Maintenance,Other Zoning Districts
340545921,Brooklyn,0,9/20/2017,12/17/2023,2278,10/9/2024,1949,STEEL/WOOD,R,3337265,313,40.5868,-73.9844,2475,WEST   16 STREET,3,06919,00001,INTERSYSTEMS INSTAL S&S,1,BIS,Local Law 11,Other Zoning Districts
340551600,Brooklyn,0,10/6/2017,12/17/2023,2262,10/19/2024,1580,STEEL/WOOD,R,3337264,313,40.5868,-73.9844,2483,WEST 16 STREET,3,06919,00001,INTERSYSTEMS INSTAL S&S,1,BIS,Local Law 11,Other Zoning Districts
340552912,Brooklyn,0,10/23/2017,12/17/2023,2245,10/30/2024,90,STEEL/WOOD,R,3324973,303,40.69355,-73.9357,109,LEWIS AVENUE,3,01598,00001,ROMA SCAFFOLDING INC,1,BIS,Local Law 11,Commercial District/Overlay
340554402,Brooklyn,0,10/28/2017,12/17/2023,2240,11/16/2024,122,STEEL/WOOD,R,3099358,317,40.66187,-73.92817,955,RUTLAND ROAD,3,04594,00064,ROMA SCAFFOLDING INC,1,BIS,Local Law 11,Other Zoning Districts
410117350,Queens,0,11/19/2008,12/17/2023,5505,3/21/2024,75,METAL,Q,4188604,409,40.68467,-73.84549,95-11, 101 AVENUE,4,09069,00038,CUSTOMBUILT HOMES INC,0,BIS,Construction or Maintenance,Commercial District/Overlay
420516873,Queens,0,12/20/2011,12/17/2023,4379,4/6/2024,400,STEEL BEAM/PIPE,R,4005022,401,40.75029,-73.93797,41-43,  28 STREET,4,00417,00002,TRIANGLE ENTERPRISE NYC I,1,BIS,Local Law 11,Other Zoning Districts
420861767,Queens,0,6/24/2013,12/17/2023,3827,6/11/2024,35,STEEL/WOOD,R,4115096,407,40.75387,-73.83087,132-53,POPLE AVENUE,4,05102,00039,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
420905159,Queens,0,10/23/2013,12/17/2023,3706,1/11/2024,500,WOOD & STEEL,R,4005066,402,40.75084,-73.94206,42-01,  23 STREET,4,00425,00005,DYNAMIC INSTALLATION CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
421047147,Queens,0,3/7/2017,12/17/2023,2475,7/20/2024,425,WOOD AND STEEL,R,4029982,403,40.74792,-73.88654,37-51,79 STREET,4,01290,00049,RENNON CONSTRUCTION CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
421049038,Queens,0,3/7/2017,12/17/2023,2475,11/13/2024,404,WOOD AND STEEL,R,4029970,403,40.74796,-73.88617,37-52,80 STREET,4,01290,00029,RENNON CONSTRUCTION CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
